DAYSAHEAD,TARGETDATE,FORECASTDEMAND,CARDINALPOINT,CP_TYPE,CP_ST_TIME,CP_END_TIME,F_Point,FORECAST_TIMESTAMP
7,2018-04-04,23380,1F,F,30,30,"",2018-03-28T14:58:44Z
7,2018-04-04,22850,1S,T,100,130,Om,2018-03-28T14:58:44Z
7,2018-04-04,23640,1A,P,200,230,"",2018-03-28T14:58:44Z
7,2018-04-04,23210,04,F,400,400,"",2018-03-28T14:58:44Z
7,2018-04-04,22970,1B,T,430,730,"",2018-03-28T14:58:44Z
7,2018-04-04,34480,2F,P,800,900,"",2018-03-28T14:58:44Z
7,2018-04-04,34240,2A,P,930,1030,"",2018-03-28T14:58:44Z
7,2018-04-04,34610,2B,P,1100,1300,DM,2018-03-28T14:58:44Z
7,2018-04-04,34150,3B,T,1330,1630,Dm,2018-03-28T14:58:44Z
7,2018-04-04,37030,3C,P,1700,1830,"",2018-03-28T14:58:44Z
7,2018-04-04,37490,4A,T,1900,2000,"",2018-03-28T14:58:44Z
7,2018-04-04,38980,4B,P,2030,2130,EM,2018-03-28T14:58:44Z
7,2018-04-04,26120,4C,F,2400,2400,"",2018-03-28T14:58:44Z
7,2018-04-06,24590,1F,F,30,30,"",2018-03-30T16:45:29Z
7,2018-04-06,23940,1S,T,100,130,"",2018-03-30T16:45:29Z
7,2018-04-06,24720,1A,P,200,230,"",2018-03-30T16:45:29Z
7,2018-04-06,23790,04,F,400,400,"",2018-03-30T16:45:29Z
7,2018-04-06,23320,1B,T,430,730,Om,2018-03-30T16:45:29Z
7,2018-04-06,35760,2F,P,800,900,"",2018-03-30T16:45:29Z
7,2018-04-06,35910,2A,P,930,1030,DM,2018-03-30T16:45:29Z
7,2018-04-06,35880,2B,P,1100,1300,"",2018-03-30T16:45:29Z
7,2018-04-06,33440,3B,T,1330,1630,Dm,2018-03-30T16:45:29Z
7,2018-04-06,36760,3C,P,1700,1830,"",2018-03-30T16:45:29Z
7,2018-04-06,36900,4A,T,1900,2000,"",2018-03-30T16:45:29Z
7,2018-04-06,37490,4B,P,2030,2130,EM,2018-03-30T16:45:29Z
7,2018-04-06,27050,4C,F,2400,2400,"",2018-03-30T16:45:29Z
7,2018-04-07,24530,1F,F,30,30,"",2018-03-31T15:04:39Z
7,2018-04-07,23940,1S,T,100,130,"",2018-03-31T15:04:39Z
7,2018-04-07,24740,1A,P,200,230,"",2018-03-31T15:04:39Z
7,2018-04-07,21960,04,F,400,400,Om,2018-03-31T15:04:39Z
